Variable Categories,Variable Subject,Mother Variable Survey Origin,Mother - Variable,Mother - Label,Smartphone Pilot - Variable,Smartphone Pilot - Label,Smartphone-HH,Smartphone-Person,Smartphone-Vehicle,Smartphone-Day,Smartphone-Trip,Smartphone Pilot - Location,NYCDOT Mobility - Variable,NYCDOT Mobility - Label,NYCDOT-HH,NYCDOT-Person,NYCDOT-Vehicle,NYCDOT-Day,NYCDOT-Trip,NHTS - Variable,NHTS - Label,NHTS - HH,NHTS - PER,NHTS - VEH,NHTS - TRIP,RHTS - Variable,RHTS - Label,RHTS - HH_DELIV,RHTS - PER_DELIV,RHTS - VEH_DELIV,RHTS - PLACE_DELIV,RHTS - LINKEDTRIPS,RHTS - UNLINKEDTRIPS,RHTS - TOUR,RHTS - SUBTOUR
Household-Level,Identifier,Smartphone Pilot,hh_id,Household ID,hh_id,Household ID,1,1,1,1,1,,hh_id,Household ID,1,1,1,1,1,HOUSEID,Household Identifier,,,,,SAMPN,Household Identifier,1,1,1,1,1,1,1,1
Household-Level,Household Characteristics,Smartphone Pilot,num_people,Number of people in household,num_people,Number of people in household,1,,,,,,num_people,Household size,1,,,,,HHSIZE,Count of household members,1,1,1,1,HHSIZ,Household Size,1,,,,1,1,,
Household-Level,Household Characteristics,Smartphone Pilot,num_adults,Number of adults in household,num_adults,Number of adults in household,1,,,,,,num_adults,Number of adults in household,1,,,,,NUMADLT,Count of adult household members at least 18 years old,1,1,1,1,,,,,,,,,,
Household-Level,Household Characteristics,NYCDOT Mobility Survery,,,,,,,,,,,num_kids,Number of children in household,1,,,,,YOUNGCHILD,Count of persons with an age between 0 and 4 in household,2,,,,HHCHD,Number of Household Children (Computed),1,,,,,,,
Household-Level,Household Characteristics,Smartphone Pilot,vehicle_num,Vehicle number in household,vehicle_num,Vehicle number in household,,,1,,,,num_vehicles,Number of household vehicles,1,,,,,HHVEHCNT,Count of household vehicles,1,1,1,1,"VEHNO, HHVEH","Vehicle Number, Number of Household Vehicles",1,,1,1,1,1,,
Household-Level,Household Characteristics,Smartphone Pilot,num_bicycles,Number of bicycles in household,num_bicycles,Number of bicycles in household,1,,,,,,num_bicycles,Number of bicycles in household,1,,,,,,,,,,,,,,,,,,,,
Household-Level,Household Characteristics,Smartphone Pilot,income_detailed,Household income (detailed categories),income_detailed,Household income (detailed categories),1,,,,,,income_detailed,Household's total annual income: detailed categories,1,,,,,HHFAMINC,Household income,2,2,2,2,INCOM,Household Income,2,,,,,,,
Household-Level,General housing characteristics,Smartphone Pilot,home_puma,Reported home location Public Use Microdata Area (PUMA),home_puma,Reported home location Public Use Microdata Area (PUMA),1,,,,,,,,,,,,,,,,,,,HADDR,Home Address,2,,,,,2,2,2
Household-Level,General housing characteristics,Smartphone Pilot,residence_type,Residence type,residence_type,Residence type,1,,,,,,res_type,Residence type,1,,,,,,,,,,,"RESTY, O_RESTY","Residence Type, ""Other, Residence Type""",1,,,,,,,
Household-Level,General housing characteristics,Smartphone Pilot,residence_rent_own,residence_rent_own,residence_rent_own,Residence ownership status ,1,,,,,,rent_own,Home ownership status,1,,,,,HOMEOWN,Home Ownership,1,1,1,1,,,,,,,,,,
Household-Level,Household Characteristics,NYCDOT Mobility Survery,,,,,,,,,,,vehicle_change,Change in number of household vehicles in the past year,1,,,,,,,,,,,,,,,,,,,,
Person-Level,Identifier,Smartphone Pilot,person_id,Person ID,person_id,Person ID,,1,,1,1,,person_id,Person ID,,,,1,1,HHRESP | PERSONID,Person identifier of household respondent | Person Identifier,1,1,1,1,"PSAMP, PERNO",Unique Person Identifier | Person Identifier,,1,,1,1,1,1,1
Person-Level,Person characteristics,Smartphone Pilot,age,Age,age,Age,,1,,,,,age,Age,,,,,,R_AGE | R_AGE_IMP,Age | Age (imputed),,1,,1,"AGE, AAGE",Age | Approximate Age,,1,,,,,,
Person-Level,Person characteristics,Smartphone Pilot,gender,Gender,gender,Gender,,,,,,,gender,Gender,,,,,,R_SEX | R_SEX_IMP,Gender | Gender (imputed),,1,,1,GENDER,Gender,,1,,,,,,
Person-Level,Person characteristics,Smartphone Pilot,education,Highest level of education completed,education,Highest level of education completed,,1,,,,,education,Highest level of education completed,,1,,,,EDUC,Educational Attainment,,1,,1,,,,,,,,,,
Person-Level,Person characteristics,None,race,race of respondent,race_afam | race_american_indian | race_asian | race_native_hawaiian | race_white | race_other | race_other_specify,Race: African American or Black | Race: American Indian or Alaska Native | Race: Asian | Race: Native Hawaiian or other Pacific Islander | Race: White | Race: Other | Race: Specify,,2,,,,,race_american_indian | race_asian | race_black | race_native_hawaiian | race_white | race_other,"Race: American Indian or Alaska Native, Race: Asian, Race: Black or African American, Race: Native Hawaiian or other Pacific Islander, Race: White, Race: other",,2,,,,R_RACE | HH_RACE,Race | Race of household respondent,1,1,1,1,"RACE, O_RACE",Race/Ethnicity | Other Race/Ethnicity,,2,,,,,,
Person-Level,Person characteristics,NHTS,ethnicity,ethnicity of respondent,ethnicity_not_hispanic | ethnicity_mexican | ethnicity_puerto_rican | ethnicity_cuban | ethnicity_other_hispanic | ethnicity_other_specify,"Ethnicity: Not of Hispanic, Latino, or Spanish origin | Ethnicity: Mexican, Mexican American, Chicano | Ethnicity: Puerto Rican, Ethnicity: Cuban | Ethnicity: Another Hispanic, Latino, or Spanish origin | Ethnicity: Specify",,2,,,,,ethnicity,Ethnicity,,2,,,,R_HISP | HH_HISP,Hispanic or Latino Origin | Hispanic status of household respondent,1,1,1,1,HISP,Hispanic Origin,,1,,,,,,
Person-Level,Person characteristics,Smartphone Pilot,disability,Disability or illness that affects ability to travel,disability,Disability or illness that affects ability to travel,,1,,,,,disability_hearing | disability_seeing | disability_walking | disability_mobility | disability_dressing | disability_concentrating | disability_none,"Disability: I am deaf or have difficulty hearing | Disability: I am blind or have difficulty seeing | Disability: I have serious difficulty walking or climbing stairs | Disability: I have limited mobility and can't walk, Disability: I have difficulty dressing or bathing | Disability: I have difficulty concentrating, remembering, or making decisions because of a physical,  mental, or emotional condition | Disability: None of the above",,2,,,,,,,,,,DISAB | DTYPE1 | DTYPE2 | DTYPE3 | DTYPE4 | O_DTYPE,"Disability | Disability Type1 | Disability Type2 | Disability Type3 | Disability Type4 | Other, Disability Type",,1,,,,,,
Person-Level,Person characteristics,Smartphone Pilot,license,Has a valid driver's license or permit,license,Has a valid driver's license or permit,,1,,,,,license,Has a valid driver's license or permit,,1,,,,,,,,,,LIC,License,,1,,,,,,
