New Variable Categories,New Variable Subject,Unique,Variable Tables,Variable Subject,Collapse Category,Mother Variable Survey Origin,Mother - Variable,Mother - Label,Smartphone Pilot - Variable,Smartphone Pilot - Label,Smartphone-HH,Smartphone-Person,Smartphone-Vehicle,Smartphone-Day,Smartphone-Trip,Smartphone Pilot - Location,NYCDOT Mobility - Variable,NYCDOT Mobility - Label,NYCDOT-HH,NYCDOT-Person,NYCDOT-Vehicle,NYCDOT-Day,NYCDOT-Trip,NHTS - Variable,NHTS - Label,NHTS - HH,NHTS - PER,NHTS - VEH,NHTS - TRIP,RHTS - Variable,RHTS - Label,RHTS - HH_DELIV,RHTS - PER_DELIV,RHTS - VEH_DELIV,RHTS - PLACE_DELIV,RHTS - LINKEDTRIPS,RHTS - UNLINKEDTRIPS,RHTS - TOUR,RHTS - SUBTOUR
Demographics,Ability (and Health),In 3 Surveys,Person-Level,Person characteristics,Ability,Smartphone Pilot,disability,Disability or illness that affects ability to travel,disability,Disability or illness that affects ability to travel,,1,,,,,disability_hearing | disability_seeing | disability_walking | disability_mobility | disability_dressing | disability_concentrating | disability_none,"Disability: I am deaf or have difficulty hearing | Disability: I am blind or have difficulty seeing | Disability: I have serious difficulty walking or climbing stairs | Disability: I have limited mobility and can't walk, Disability: I have difficulty dressing or bathing | Disability: I have difficulty concentrating, remembering, or making decisions because of a physical,  mental, or emotional condition | Disability: None of the above",,2,,,,,,,,,,"DISAB | 
DTYPE1 | 
DTYPE2 | 
DTYPE3 | 
DTYPE4 | 
O_DTYPE |","Disability | 
Disability Type1 | 
Disability Type2 | 
Disability Type3 | 
Disability Type4 | 
Other, Disability Type |",,1,,,,,,
Demographics,Ability (and Health),In 3 Surveys,Person-Level,Person characteristics,Ability,Smartphone Pilot,license,Has a valid driver's license or permit,license,Has a valid driver's license or permit,,1,,,,,license,Has a valid driver's license or permit,,1,,,,,,,,,,LIC,License,,1,,,,,,
Trip Information,Tour/Day Information,In 2 Surveys,Day-Level,General day characteristics,Destination Location,Smartphone Pilot,end_day,Day end location,end_day,Day end location,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Destination,Smartphone Pilot,Trip-Level,General trip characteristics,Destination Location,Smartphone Pilot,destination_location,Destination Location,"d_lat |
d_lat |
d_lon |
d_bg |
d_county |
d_state |
d_puma |
d_in_region |","Destination latitude |
Destination longitude |
Destination block group |
Destination county (fips code) |
Destination state (fips code) |
Destination Public Use Microdata | Area (PUMA) |
Destination in study region |",,,,,1,,"d_location_type |
d_cms_zone |","Imputed location type for trip destination |
Destination CMS zone |",,,,,1,,,,,,1,"DTAZ |
DXCORD |
DYCORD |
DTRACT |
DMCD |
DZIP |
DNYC |
DMPO |
DCOUNTY |
GEO_GROUP1_D |
GEO_GROUP2_D |
GEO_GROUP3_D |
DHOME |
DEST_HOME |
DTYPE |
DPRIOR |
PRIM_TAZ |
PRIM_TRACT | 
PCOUNTY |
PRIM_DXCORD |
PRIM_DYCORD |
GEO_GROUP1_P |
GEO_GROUP2_P |
GEO_GROUP3_P |
PRIM_NYC |
PRIM_MPO |","Destination TAZ (WGS84) |
Destination Geocoded Longitude (in WGS 84) |
Destination Geocoded Latitude (in WGS 84) |
Destination Tract 2010 (WGS84) |
Destination MCD |
Destination Zip |
1 if destination is in NYC |
Destination MPO | 
Destination County |
Geo group 1 for destination |
Geo group 2 for destination |
Geo group 3 for destination |
1 If Home is destination |
If Home is destination |
Destination Type Code |
Priority of Destination |
Primary Tour Destination TAZ (NYMTC) |
Primary Tour Destination Census Tract 2010 |
Prime Destination County |
Primary Destination X Coord |
Primary Destination Y Coord |
Geo group 1 for Primary Destination |
Geo group 2 for Primary Destination |
Geo group 3 for Primary Destination |
1 if Prime Destination is in NYC |
Prime destination's MPO |",,,,,1,1,1,
Trip Information,Route/Path,Smartphone Pilot,Trip-Level,General trip characteristics,Destination Location,Smartphone Pilot,google_alighting_station,Google suggested alighting station,google_alighting_station,Google suggested alighting station,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Destination,NYCDOT Mobility Survery,Trip-Level,General trip characteristics,Destination Location,NYCDOT Mobility Survery,d_congestion,Did the trip end in the congestion pricing zone south of 60th Street in Manhattan?,,,,,,,,,d_congestion,Did the trip end in the congestion pricing zone south of 60th Street in Manhattan?,,,,,1,,,,,,,,,,,,,,,,
Demographics,Location-Area Demographics,NHTS,Trip-Level,General trip characteristics,Destination Location,NHTS,d_census_cats,Destination Census Variable Categories,,,,,,,,,,,,,,,,"DBHTNRNT |
DBPPOPDN |
DBRESDN |
DTEEMPDN |
DTHTNRNT |
DTPPOPDN |
DTRESDN |
DBHUR","Category of the percent of renter-occupied housing in the census block group of the trip destination's location |
Category of population density (persons per square mile) in the census block group of the trip destination's location |
Category of housing units per square mile in the census block group of the trip destination's location |
Category of workers per square mile in the census tract of the trip destination's location |
Category of the percent of renter-occupied housing in the census tract of the trip destination's location |
Category of population density (persons per square mile) in the census tract of the trip destination's location |
Category of housing units per square mile in the census tract of the trip destination's location |
Urban / Rural indicator - Trip Destination Block group",,,,1,,,,,,,,,,
Trip Information,Destination,RHTS,Trip-Level,Identifier,Destination Location,RHTS,PLSAM,Place Unique Identifier,,,,,,,,,,,,,,,,,,,,,,PLSAM,Place Unique Identifier,,,,1,1,1,,
Trip Information,Destination,RHTS,Trip-Level,Identifier,Destination Location,RHTS,PLLOC,Place Location,"lat |
lon |","Latitude |
Longitude |",,,,,1,,,,,,,,,,,,,,,"PLANO |
PNAME |
ADDR |
CITY | CITY_PL |CITY_MCD |
CITY_PL |
CITY_MCD |
STATE |
ZIP |
YCORD |
XCORD |
IMPUTED |
TAZ |
TRACT |
CTFIP |","Place Number |
Place Name |
Address |
City (TB) |City (Place Name) | City (MCD Place Name) |
City (Place Name) |
City (MCD Place Name) |
State |
Zip Code |
Y Latitude (in WGS 84) |
X Longitude (in WGS 84) |
Location Imputed by NYMTC/NJTPA |
Location TAZ (NYMTC Provided) |
Location Census Tract 2010 (NYMTC Provided) |
County FIPS |",,,,1,1,1,,
Trip Information,Tour/Day Information,RHTS,Trip-Level,General trip characteristics,Destination Location,RHTS,SUBT_AREA,Subtour Area Type,,,,,,,,,,,,,,,,,,,,,,"SUBT_TAZ |
SUBT_TRACT |","subtour TAZ (NYMTC) |
Subtour Census Tract 2010 |",,,,,1,,,
